age,hours_per_day,while_working,bpm,frequency_classical,frequency_edm,frequency_folk,frequency_hip_hop,frequency_latin,frequency_lofi,frequency_metal,frequency_pop,frequency_r&b,frequency_rock,frequency_video_game_music,anxiety,depression,insomnia,ocd,hour,minute,primary_streaming_service,fav_genre,age_bin,hours_per_day_bin,date,music_effects
18,3.0,1,156.0,2,2,1,3,4,2,1,4,3,1,3,3.0,0.0,1.0,0.0,19,29,spotify,latin,16-20,2-3,2022-08-27,3
18,1.5,1,119.0,3,1,2,2,3,2,1,3,3,4,2,7.0,2.0,2.0,1.0,19,57,pandora,rock,16-20,1-2,2022-08-27,3
18,4.0,0,132.0,1,4,1,2,1,3,3,2,1,2,4,7.0,7.0,10.0,2.0,21,28,spotify,video game music,16-20,3-4,2022-08-27,2
18,2.5,1,84.0,3,1,2,1,4,3,1,3,3,1,1,9.0,7.0,3.0,3.0,21,40,youtube music,jazz,16-20,2-3,2022-08-27,3
18,4.0,1,107.0,1,2,1,4,3,3,1,3,4,1,2,7.0,2.0,5.0,9.0,21,54,spotify,r&b,16-20,3-4,2022-08-27,3
18,5.0,1,86.0,2,1,1,3,2,4,2,4,4,4,1,8.0,8.0,7.0,7.0,21,56,spotify,jazz,16-20,4-5,2022-08-27,3
18,3.0,1,66.0,3,2,3,2,2,2,2,2,2,1,3,4.0,8.0,6.0,0.0,22,0,youtube music,video game music,16-20,2-3,2022-08-27,3
21,1.0,1,95.0,1,2,1,4,1,3,1,3,3,1,2,5.0,2.0,5.0,3.0,22,18,spotify,k pop,21-25,0-1,2022-08-27,3
19,6.0,1,94.0,1,1,1,1,1,1,4,1,1,4,1,2.0,0.0,0.0,0.0,22,33,spotify,rock,16-20,5-6,2022-08-27,3
18,1.0,1,155.0,2,2,2,2,2,2,1,3,3,3,3,2.0,2.0,5.0,1.0,22,51,i do not use a streaming service.,r&b,16-20,0-1,2022-08-27,3
18,3.0,1,100.0,1,1,1,1,1,1,1,2,2,2,1,7.0,7.0,4.0,7.0,23,0,spotify,country,16-20,2-3,2022-08-27,2
19,8.0,1,125.0,2,4,1,3,2,2,1,2,2,2,2,1.0,0.0,0.0,1.0,23,4,youtube music,edm,16-20,7-8,2022-08-27,3
18,3.0,1,100.0,2,2,1,4,1,4,1,3,3,2,1,9.0,3.0,2.0,7.0,23,12,spotify,hip hop,16-20,2-3,2022-08-27,3
19,2.0,1,88.0,1,2,3,3,1,2,1,2,1,1,1,2.0,1.0,2.0,0.0,23,16,spotify,country,16-20,1-2,2022-08-27,3
18,4.0,1,148.0,4,1,1,1,3,2,3,3,1,3,2,6.0,4.0,7.0,0.0,23,19,spotify,jazz,16-20,3-4,2022-08-27,3
17,2.0,0,100.0,2,1,1,3,2,2,2,4,2,3,2,7.0,5.0,4.0,1.0,23,39,spotify,pop,16-20,1-2,2022-08-27,1
16,8.0,1,103.0,1,1,1,4,1,1,1,1,3,1,2,8.0,8.0,4.0,3.0,23,39,spotify,hip hop,16-20,7-8,2022-08-27,3
16,12.0,1,120.0,2,3,2,4,1,1,3,3,2,4,1,5.0,7.0,10.0,0.0,23,40,spotify,hip hop,16-20,11-12,2022-08-27,3
15,3.0,0,120.0,1,1,1,4,1,1,2,2,3,2,1,7.0,2.0,0.0,2.0,23,43,spotify,hip hop,11-15,2-3,2022-08-27,3
15,8.0,1,120.0,2,3,2,4,3,2,2,4,2,3,3,6.0,9.0,3.0,0.0,0,28,apple music,hip hop,11-15,7-8,2022-08-28,3
17,4.0,1,125.0,1,2,1,3,1,2,2,3,1,3,1,10.0,10.0,2.0,4.0,1,39,spotify,rap,16-20,3-4,2022-08-28,3
19,5.0,1,118.0,2,3,4,4,1,2,2,2,4,3,2,6.0,7.0,5.0,4.0,3,19,i do not use a streaming service.,r&b,16-20,4-5,2022-08-28,3
18,2.0,1,79.0,2,3,1,2,3,1,1,4,1,1,2,3.0,3.0,8.0,6.0,4,13,spotify,pop,16-20,1-2,2022-08-28,2
16,3.0,1,84.0,2,1,2,3,2,1,3,1,3,4,3,10.0,6.0,8.0,10.0,4,38,other streaming service,rock,16-20,2-3,2022-08-28,3
18,2.0,0,169.0,3,2,4,2,1,3,1,4,3,3,1,7.0,4.0,2.0,5.0,4,40,spotify,pop,16-20,1-2,2022-08-28,3
14,12.0,1,136.0,3,2,2,4,1,4,1,4,4,4,3,8.0,6.0,10.0,5.0,5,5,spotify,rock,11-15,11-12,2022-08-28,3
18,6.0,1,101.0,3,2,2,3,1,1,1,4,3,1,1,3.0,2.0,1.0,2.0,5,16,youtube music,pop,16-20,5-6,2022-08-28,3
17,2.0,1,126.0,1,2,2,1,4,2,2,4,2,3,3,6.0,6.0,4.0,5.0,8,36,spotify,pop,16-20,1-2,2022-08-28,3
17,1.0,1,183.0,2,1,2,1,1,1,3,3,1,3,1,8.0,2.0,1.0,5.0,10,30,spotify,pop,16-20,0-1,2022-08-28,3
20,5.0,1,100.0,1,2,4,4,3,3,4,3,3,4,2,7.0,7.0,2.0,0.0,10,38,apple music,rock,16-20,4-5,2022-08-28,3
19,2.0,1,120.0,4,1,1,2,1,3,1,4,1,1,4,4.0,4.0,4.0,3.0,10,54,spotify,classical,16-20,1-2,2022-08-28,2
19,6.0,1,100.0,1,1,2,2,1,3,4,3,1,3,3,9.0,8.0,2.0,0.0,10,59,spotify,metal,16-20,5-6,2022-08-28,3
17,4.0,0,142.0,2,2,4,3,1,2,2,4,2,4,2,5.0,6.0,6.0,1.0,11,8,spotify,rock,16-20,3-4,2022-08-28,3
16,1.0,1,75.0,4,1,2,1,1,1,2,1,1,1,2,0.0,0.0,0.0,0.0,11,13,spotify,classical,16-20,0-1,2022-08-28,2
18,5.0,1,120.0,3,3,2,3,2,3,2,4,3,2,1,3.0,2.0,1.0,1.0,11,25,spotify,pop,16-20,4-5,2022-08-28,3
21,4.0,1,89.0,1,2,1,3,2,1,1,4,1,1,1,6.0,8.0,0.0,2.0,11,27,spotify,pop,21-25,3-4,2022-08-28,3
17,3.0,1,100.0,1,3,1,4,1,1,2,4,3,4,1,2.0,0.0,4.0,0.0,11,36,other streaming service,pop,16-20,2-3,2022-08-28,2
26,0.5,0,140.0,2,2,3,1,1,1,1,2,1,4,1,9.0,8.0,1.0,0.0,11,39,other streaming service,rock,26-30,0-1,2022-08-28,2
20,4.0,1,161.0,2,4,3,3,1,3,2,4,4,4,2,7.0,2.0,8.0,6.0,11,50,spotify,edm,16-20,3-4,2022-08-28,3
23,2.0,1,80.0,3,1,2,1,2,2,2,3,3,3,4,4.0,2.0,3.0,4.0,11,54,youtube music,video game music,21-25,1-2,2022-08-28,3
18,5.0,1,130.0,4,1,3,3,1,3,4,3,2,4,3,7.0,6.0,5.0,0.0,11,55,spotify,rock,16-20,4-5,2022-08-28,3
37,0.25,0,147.0,4,1,2,2,2,1,1,4,3,3,3,3.0,2.0,10.0,0.0,11,58,youtube music,video game music,36-40,0-1,2022-08-28,2
17,3.0,1,100.0,4,4,1,4,2,3,1,3,4,2,3,6.0,6.0,8.0,2.0,12,8,spotify,classical,16-20,2-3,2022-08-28,3
18,4.0,1,77.0,2,1,1,4,1,1,4,3,3,4,1,1.0,0.0,8.0,2.0,12,12,spotify,metal,16-20,3-4,2022-08-28,2
17,1.0,1,118.0,1,2,4,2,2,2,2,2,2,3,3,7.0,3.0,1.0,5.0,12,15,i do not use a streaming service.,folk,16-20,0-1,2022-08-28,3
36,1.0,0,132.0,4,1,2,1,1,1,3,2,1,3,1,8.0,9.0,3.0,0.0,12,23,spotify,classical,36-40,0-1,2022-08-28,2
24,3.0,1,115.0,2,2,3,1,1,4,2,3,1,4,3,9.0,6.0,4.0,3.0,12,30,spotify,rock,21-25,2-3,2022-08-28,3
18,5.0,1,157.0,1,2,2,4,2,2,4,3,2,4,1,7.0,9.0,5.0,0.0,12,32,spotify,metal,16-20,4-5,2022-08-28,3
19,3.0,1,90.0,3,3,1,4,1,3,2,4,3,3,3,7.0,4.0,2.0,4.0,12,37,spotify,pop,16-20,2-3,2022-08-28,2
17,2.0,1,128.0,1,4,1,2,2,2,4,3,3,4,2,0.0,0.0,0.0,0.0,12,39,apple music,edm,16-20,1-2,2022-08-28,3
16,6.0,1,169.0,2,1,2,4,4,4,1,3,4,2,1,7.0,8.0,7.0,5.0,12,52,spotify,k pop,16-20,5-6,2022-08-28,3
23,1.0,0,140.0,3,3,2,4,1,1,3,2,2,4,2,10.0,6.0,3.0,10.0,12,53,apple music,rap,21-25,0-1,2022-08-28,2
23,12.0,1,96.0,4,1,4,2,2,2,1,4,3,2,1,3.0,7.0,5.0,5.0,12,54,spotify,pop,21-25,11-12,2022-08-28,2
22,4.0,1,126.0,2,2,3,2,1,2,3,4,3,4,2,8.0,7.0,4.0,3.0,13,1,spotify,rock,21-25,3-4,2022-08-28,3
16,2.0,1,100.0,4,1,1,2,1,1,1,2,2,3,2,0.0,0.0,1.0,3.0,13,5,apple music,classical,16-20,1-2,2022-08-28,3
18,6.0,1,91.0,2,1,2,1,1,1,4,2,1,4,1,8.0,6.0,2.0,10.0,13,8,spotify,rock,16-20,5-6,2022-08-28,2
42,0.0,1,100.0,2,1,1,1,1,1,3,2,2,3,3,9.0,0.0,10.0,0.0,13,9,i do not use a streaming service.,rock,41-45,0-1,2022-08-28,2
23,7.0,1,55.0,2,1,4,3,2,1,3,3,2,2,3,6.0,4.0,2.0,3.0,13,18,spotify,folk,21-25,6-7,2022-08-28,3
